i,j,vx,vy
134,166,0.0265248,-0.0125241
194,25,-0.0447345,0.0988724
188,198,0.0483332,0.0951047
100,17,0.043446,0.0824318
133,37,0.03131,0.0109448
145,23,0.0823358,-0.00551942
123,-1,-0.0519425,0.0186098
34,0,0.0535679,-0.00685395
86,183,0.00352533,0.000600189
213,182,0.0203139,-0.0497101
96,1,-0.047162,-0.183713
48,161,0.134948,0.0288379
2,112,-0.0136148,-0.0928897
180,34,-0.0804227,0.0120381
211,9,0.0176916,-0.00536952
183,-1,-0.0118938,-0.00998826
203,41,-0.0899202,-0.0561813
11,216,0.0443545,0.0467182
211,47,0.0122888,-0.107226
178,35,0.0667706,-0.108125
4,71,-0.0253013,-0.0140564
86,96,-0.0471708,-0.0147191
98,195,-0.0568387,-0.0275233
177,87,0.0611054,0.0139468
27,132,0.0465538,-0.00132229
40,34,0.0281562,0.0232951
46,116,-0.162832,0.0536098
22,144,-0.0224782,0.0368798
219,59,-0.00229068,0.00449111
136,212,0.0203941,-0.048449
112,22,-0.0317484,-0.00333214
161,23,-0.0134132,-0.0422362
197,15,0.0221165,-0.0310687
205,45,0.0290237,0.0314753
206,190,0.0841981,0.0653535
92,68,0.0279544,0.0771393
190,29,0.0772258,0.0288968
150,173,-0.0417324,-0.000125022
14,109,0.0518271,0.0786747
62,126,0.0112445,0.0620215
210,206,0.0215376,0.0671109
187,114,0.0288716,-0.0101388
69,30,0.038715,0.0108429
132,151,0.00517603,0.0357592
-1,161,0.0116734,-0.0835521
78,25,-0.0259259,-0.0077029
68,31,0.108014,-0.0592118
188,149,-0.0671076,-0.0179661
81,-1,-0.0135875,0.0306146
148,173,0.0626305,0.0572668
197,205,0.026592,-0.00734021
52,91,-0.134536,0.0127156
46,60,-0.0175138,-0.0512495
55,113,0.0499592,0.0213814
184,131,0.0658421,0.00788567
109,90,-0.0366901,0.0715347
23,44,-0.00572622,0.0655788
149,141,-0.00146526,0.0857874
156,147,-0.0761253,-0.0135984
222,205,0.00744704,0.0888314
5,110,-0.0611381,-0.0506563
32,160,-0.0932188,0.0123315
98,105,0.0488385,0.00880168
216,23,-0.0190023,-0.0882926
203,192,0.0397953,-0.0649306
82,46,-0.0365929,0.0405838
47,3,0.0111553,-0.0836147
152,11,-0.0279586,-0.0555242
0,102,-0.0379332,0.0128874
94,172,-0.0199007,-0.0731154
11,64,0.0155744,-0.045283
89,0,0.0156498,0.00622535
219,41,0.00901132,0.0304228
31,6,-0.0365188,0.0953009
42,38,0.0718921,-0.0544517
162,5,0.0115792,0.0407076
161,209,-0.0783564,-0.00856082
92,196,-0.0493565,-0.0331713
131,124,-0.0597197,0.0424159
-1,2,-0.00764888,-0.0558584
86,87,-0.0169852,-0.021414
19,-1,0.000213562,-0.0051197
171,121,-8.32265e-05,-0.0281125
82,162,0.0759538,-0.0318347
120,9,-0.0407277,0.0670526
153,15,0.161699,0.0171617
13,204,0.0604902,-0.0530394
29,193,-0.00815193,-0.107523
220,145,0.0861853,-0.0295528
77,17,-0.00223645,0.0171662
194,41,0.0833743,0.0860006
117,169,0.0383651,-0.0685461
82,59,-0.101432,-0.054334
50,114,0.0223935,-0.0387693
165,32,-0.000571838,0.00942567
101,116,0.0289478,-0.115079
0,50,0.0192085,-0.0447016
175,46,-0.0752963,0.0424905
35,105,-0.0622218,-0.0483237
151,116,0.0337221,0.00152467
168,215,0.0635798,-0.0970743
67,1,0.00935698,0.0660047
182,222,-0.053206,-0.0173201
69,53,0.0119511,0.00370835
205,177,-0.0333797,-0.0606011
192,140,0.0648858,-0.0499454
-1,190,-0.00456096,-0.042265
136,55,0.123278,0.00620876
131,15,-0.0726914,0.0521342
105,175,0.0733477,0.0209349
55,109,-0.0498384,0.177894
91,63,0.0417724,0.00972892
154,69,0.00963805,0.0352182
133,195,0.0423634,-0.0252799
69,126,-0.0290835,0.103519
214,138,0.0316957,-0.00247798
175,41,0.0539135,-0.0111287
47,23,-0.0660595,-0.0233249
5,116,0.0264258,0.0123707
22,54,-0.0245268,-0.0688736
19,88,0.0295957,-0.0407595
-1,14,-0.0195128,-0.0960066
112,167,0.0687231,-0.0323556
21,134,-0.0177041,-0.0448239
204,128,-0.0245769,-0.00932601
117,137,0.0213049,0.0293631
42,206,-0.0176526,-0.0417593
27,66,0.00699079,-0.0378758
6,123,-0.0139071,-0.00405903
29,28,0.0259579,0.0179418
110,34,0.0248395,0.0302763
106,200,-0.0135104,-0.0630251
137,21,0.107977,0.0658688
1,83,-0.0367431,-0.0404661
7,54,0.014214,0.0344362
41,57,0.049325,-0.0329465
155,182,-0.107076,-0.135355
142,54,0.0136357,-0.0390674
97,219,-0.0545682,0.0028671
222,93,-0.044911,0.00978608
58,224,0,0
56,78,0.0355516,0.098038
20,33,-0.0471147,-0.0508091
103,77,-0.0409536,-0.0356216
190,14,-0.0311427,-0.0235043
